,Zip Code,Community,Zip Code Latitude,Zip Code Longitude,Venue,Venue Category,City
17,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Bicentennial Thrift,Food,Los Angeles
18,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,Andy's Pizzeria And Mexican Food,Mexican Restaurant,Los Angeles
19,90001,"Los Angeles (South Los Angeles), Florence-Graham",33.972914,-118.24878,All Star Fish Market,American Restaurant,Los Angeles
20,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,Popeyes Louisiana Kitchen,Fried Chicken Joint,Los Angeles
21,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,Louisiana Fried Chicken,Fried Chicken Joint,Los Angeles
22,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,Watts Coffee House,Café,Los Angeles
23,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,Jack in the Box,Fast Food Restaurant,Los Angeles
24,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,Burger King,Fast Food Restaurant,Los Angeles
25,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,Little Caesars Pizza,Pizza Place,Los Angeles
26,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,SUBWAY,Sandwich Place,Los Angeles
27,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,B.D. Burgers,Burger Joint,Los Angeles
28,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,Domino's Pizza,Pizza Place,Los Angeles
29,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,Chinese Express,Chinese Restaurant,Los Angeles
30,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,M&T Donuts,Donut Shop,Los Angeles
31,90002,"Los Angeles (Southeast Los Angeles, Watts)",33.948315,-118.24845,Zugo,Food Truck,Los Angeles
32,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,McDonald's,Fast Food Restaurant,Los Angeles
33,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Church's Chicken,Fried Chicken Joint,Los Angeles
34,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Manuels Burgers,Mexican Restaurant,Los Angeles
35,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Popeyes Louisiana Kitchen,Fried Chicken Joint,Los Angeles
36,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Burger Palace,Burger Joint,Los Angeles
37,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Roscoe's House of Chicken and Waffles,Southern / Soul Food Restaurant,Los Angeles
38,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,El Tacorian,Taco Place,Los Angeles
39,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Subway,Sandwich Place,Los Angeles
40,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,WINCHELL'S DONUT HOUSE,Donut Shop,Los Angeles
41,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,El Pollo Loco,Fast Food Restaurant,Los Angeles
42,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Little Caesars Pizza,Pizza Place,Los Angeles
43,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Hong Kong Express,Restaurant,Los Angeles
44,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Tumbys Pizza,Pizza Place,Los Angeles
45,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,"Lottery Ticket Sales - Lotto Games, Retailers, Los Angeles",Food,Los Angeles
46,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Ibarra Bakery,Bakery,Los Angeles
47,90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)",33.962714,-118.276,Express Juice,Food,Los Angeles
48,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,Guatemalteca Bakery,Restaurant,Los Angeles
49,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,KFC,Fried Chicken Joint,Los Angeles
50,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,Pizza Hut,Pizza Place,Los Angeles
51,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,Moon Daepo BBQ #2,Korean Restaurant,Los Angeles
52,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,Cactus Mexican Food,Mexican Restaurant,Los Angeles
53,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,Noshi Sushi,Sushi Restaurant,Los Angeles
54,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,Paris Baguette Cafe,Bakery,Los Angeles
55,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,Dream Korean BBQ,Korean Restaurant,Los Angeles
56,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,Western Doma Noodle,Noodle House,Los Angeles
57,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,Saikai Ramen Bar,Ramen Restaurant,Los Angeles
58,90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)",34.07711,-118.30755,The Bun Shop,Dumpling Restaurant,Los Angeles
